ItemID,index,dic_index
44021641588,2,CC
18999829018,2,CC
18999829018,2,CC
24596036343,2,DC
24596036343,2,JB
45219159638,2,DC
45219159638,2,CC
40565901878,2,DK
40565901878,2,QC
36613205733,2,CC
36613205733,2,XB
36613205733,2,CC
36613205733,2,XB
36613205733,2,EJ
36613205733,2,YD
43859660891,2,CC
43859660891,2,CC
38708270318,2,CC
38708270318,2,CC
35540978058,2,CC
35540978058,2,CC
35540978058,2,UV
35540978058,2,DC
26519380192,2,UV
26519380192,2,PZ
26519380192,2,DC
521513506795,2,CC
521513506795,2,CC
18053093587,2,UV
18053093587,2,UV
42468840454,2,MO
42468840454,2,YK
522033862841,2,CC
522033862841,2,CC
521870063421,2,CC
521870063421,2,CC
522097809685,2,CC
522097809685,2,CC
523776961013,2,CC
523776961013,2,CC
16831203027,2,CC
16831203027,2,CC
19999809846,2,CC
19999809846,2,CC
20167630571,2,XB
20167630571,2,DC
20167630571,2,SP
20167630571,2,XB
27462844289,2,CC
27462844289,2,UV
27462844289,2,CC
27462844289,2,UV
36910165248,2,CC
36910165248,2,CC
37994506504,2,CC
37994506504,2,CC
38663832002,2,CC
38663832002,2,CC
39237426326,2,DC
41802068265,2,CC
41802068265,2,YK
41802068265,2,CC
41802068265,2,CC
43168072227,2,WD
43736454825,2,CC
43736454825,2,CC
44231886556,2,CC
44231886556,2,FW
44231886556,2,CC
44231886556,2,DC
44231886556,2,FD
44231886556,2,FW
44231886556,2,JB
44231886556,2,JD
44231886556,2,UV
44799642380,2,CC
44799642380,2,CC
45293052304,2,CC
45293052304,2,CC
45410114111,2,CC
45410114111,2,CC
522145128789,2,CC
522145128789,2,CC
522145128789,2,SJ
523084126902,2,CC
523084126902,2,CC
18820622609,2,CC
18820622609,2,CC
18820622609,2,DC
20186366493,2,CC
20186366493,2,CC
20186366493,2,SJ
20373091017,2,CC
20373091017,2,CC
20728727154,2,CC
20728727154,2,YK
20728727154,2,CC
20728727154,2,DC
20728727154,2,RG
20728727154,2,YK
23896264169,2,UV
23896264169,2,DC
23896264169,2,UV
23896264169,2,YK
24319152517,2,CC
