index,search_keywords,scrape_url,num_srp,time_stamp,user_id,store_name,item_id,store_url,item_title,item_pic,item_url,item_price,shipping_fee,item_location,reserve_price,qty_paid,review_cnt,taobao_tmall,store_rating,ratesum,favorableRate,industry,store_rating_industry_avg,rating_as_described,rad_above_avg,rad_re_avg,rating_service_attitude,rsa_above_avg,rsa_re_avg,rating_shipping,rsh_above_avg,rsh_re_avg,taobao_enterprise,rating_total,seller_reputation,other,rank
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:54,13916408,dengqy7984,20129813477,//store.taobao.com/shop/view_shop.htm?user_number_id=13916408,Canon/佳能专业数码单反 EOS 700D(18-135STM镜头)套机 现货促销,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1_1SPHpXXXXcwXVXXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=20129813477&ns=1&abbucket=0#detail,2480.00,0.00,广东 深圳,2980.00,17人付款,6,"taobao""","2×蓝冠""","12""",99.74%,3C数码,100%,"4.88""",1,37.20%,"4.91""",1,41.26%,"4.90""",1,46.44%,0,"99.74""","12""",年货节购物券|||全球购|||8天退货,12
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:55,406184929,王林光98,523100968788,//store.taobao.com/shop/view_shop.htm?user_number_id=406184929,大陆行货尼康单反D7100相机单机18-105VR套机 媲d7200 70d 700d,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1sdgOLXXXXXblXVXXXXXXXXXX_!!2-item_pic.png,//item.taobao.com/item.htm?id=523100968788&ns=1&abbucket=0#detail,3820.00,0.00,广东 深圳,3820.00,35人付款,127,"taobao""","2×蓝冠""","12""",99.54%,3C数码,100%,"4.97""",1,86.09%,"4.97""",1,83.91%,"4.97""",1,85.42%,0,"99.53""","12""",退货运费险,12
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:55,848278448,请叫我正太,525400720707,//store.taobao.com/shop/view_shop.htm?user_number_id=848278448,Canon/佳能EOS 700D套机18-135STM18-55STM单反相机 媲70D 1200D,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1QvykLXXXXXcTXFXXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=525400720707&ns=1&abbucket=0#detail,1800.00,0.00,上海,2100.00,263人付款,97,"taobao""","2×蓝冠""","12""",96.79%,3C数码,100%,"4.96""",1,77.63%,"4.94""",1,65.15%,"4.92""",1,57.35%,0,"96.79""","12""",年货节购物券,12
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:56,196592789,数码网购e时代,24950624601,//store.taobao.com/shop/view_shop.htm?user_number_id=196592789,立返120 佳能700D 18-200 IS镜头 佳能700D套机 正品行货全国联保,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/T14eaxFCdcXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=24950624601&ns=1&abbucket=0#detail,5050.00,0.00,北京,5050.00,0人付款,0,"taobao""","2×蓝冠""","12""",99.96%,3C数码,100%,"4.97""",1,85.45%,"4.98""",1,84.29%,"4.97""",1,85.67%,0,"99.96""","12""",金牌卖家,12
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:56,1089421267,霞光盛景数码专营店,20728531850,//store.taobao.com/shop/view_shop.htm?user_number_id=1089421267,【直营店】佳能相机EOS 700D 18-135 STM套机 700D18-135单反相机,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1dZgvKVXXXXcpXXXXXXXXXXXX_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=20728531850&ns=1&abbucket=0,4498.00,0.00,北京,5588.00,3人付款,31,"tmall""","4×钻""","9""",100.00%,3C数码,100%,"4.94""",1,56.42%,"4.91""",1,52.45%,"4.89""",1,48.98%,0,"100""","9""",天猫宝贝|||退货运费险,9
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:57,77910938,思念文,36211375658,//store.taobao.com/shop/view_shop.htm?user_number_id=77910938,特价促销 原装正品 佳能 700D 套机 (18-55 mm) STM单反相机700D,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/T1xsk4FnRlXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=36211375658&ns=1&abbucket=0#detail,5740.00,0.00,广东 深圳,5740.00,0人付款,0,"taobao""","5×钻""","10""",99.80%,3C数码,100%,"4.93""",1,60.85%,"4.93""",1,57.96%,"4.92""",1,58.34%,0,"99.79""","10""",1天内发货|||退货运费险,10
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:57,2337689189,佳能丽康专卖店,521828440929,//store.taobao.com/shop/view_shop.htm?user_number_id=2337689189,［送eos俱乐部摄影教程］Canon佳能单反700D单机EOS700d机身高清,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1P6fzJpXXXXa9XXXXXXXXXXXX_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=521828440929&ns=1&abbucket=0,2758.00,0.00,四川 成都,2758.00,1人付款,0,"tmall""","1×钻""","6""",100.00%,3C数码,100%,"4.92""",1,41.70%,"4.89""",1,40.65%,"4.91""",1,58.35%,0,"100""","6""",天猫宝贝|||退货运费险,6
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:57,812127596,zhangfeilin888,27517084406,//store.taobao.com/shop/view_shop.htm?user_number_id=812127596,佳能专业单反相机 700D/18-135 STM 套机 佳能700D 行货全国联保,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/17596027789438254/T15tOUFgJXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=27517084406&ns=1&abbucket=0#detail,3200.00,0.00,广东 深圳,3200.00,0人付款,3,"taobao""","1×蓝冠""","11""",99.63%,3C数码,100%,"4.94""",1,69.73%,"4.95""",1,69.46%,"4.95""",1,71.71%,0,"99.63""","11""",金牌卖家|||3天内发货,11
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:58,11616262,易金金,22311119931,//store.taobao.com/shop/view_shop.htm?user_number_id=11616262,佳能 700d套机 佳能 EOS 700d/18-55 stm套机 单反相机 全新正品,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/T1NuSeFOpgXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=22311119931&ns=1&abbucket=0#detail,2880.00,0.00,浙江 杭州,2880.00,0人付款,0,"taobao""","4×钻""","9""",99.98%,3C数码,100%,"4.99""",1,94.69%,"4.98""",1,87.72%,"4.97""",1,84.18%,0,"99.97""","9""",,9
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:58,15143708,南天摄影器材批发部,20377083342,//store.taobao.com/shop/view_shop.htm?user_number_id=15143708,【三冠南天】Canon/佳能 700D单机 机身 单反相机 特价现货,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/13708022858037044/T1pcaAXsJXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=20377083342&ns=1&abbucket=0#detail,2380.00,35.00,浙江 杭州,2380.00,1人付款,0,"taobao""","3×蓝冠""","13""",99.30%,3C数码,100%,"4.91""",1,50.68%,"4.91""",1,45.21%,"4.93""",1,63.64%,0,"99.29""","13""",,13
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:59,194215397,大有元亨数码专营店,18386033257,//store.taobao.com/shop/view_shop.htm?user_number_id=194215397,Canon/佳能 EOS-700D (18-55mmSTM套机) 数码单反相机 佳能700D,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1uFiEKVXXXXbMXXXXXXXXXXXX_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=18386033257&ns=1&abbucket=0,3468.00,0.00,北京,3668.00,0人付款,0,"tmall""","4×蓝冠""","14""",100.00%,3C数码,100%,"4.93""",1,50.91%,"4.90""",1,49.78%,"4.91""",1,59.07%,0,"100""","14""",阿里年货节|||年货节购物券|||天猫宝贝,14
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:59,194215397,大有元亨数码专营店,24970988203,//store.taobao.com/shop/view_shop.htm?user_number_id=194215397,Canon/佳能 EOS 700D套机(18-135mm) 单反数码相机 佳能 700D,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1v3CzKVXXXXacXpXXXXXXXXXX_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=24970988203&ns=1&abbucket=0,4599.00,0.00,北京,4799.00,0人付款,0,"tmall""","4×蓝冠""","14""",100.00%,3C数码,100%,"4.93""",1,50.91%,"4.90""",1,49.78%,"4.91""",1,59.07%,0,"100""","14""",阿里年货节|||年货节购物券|||天猫宝贝,14
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:17:59,750779228,ocean528632,520908484838,//store.taobao.com/shop/view_shop.htm?user_number_id=750779228,特价包邮Canon/佳能700D 18-55 18-135 STM 佳能单反套机,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1XBnZJpXXXXXLXVXXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=520908484838&ns=1&abbucket=0#detail,1990.00,0.00,广东 深圳,2000.00,2人付款,6,"taobao""","2×蓝冠""","12""",99.73%,3C数码,100%,"4.97""",1,81.19%,"4.97""",1,81.57%,"4.97""",1,82.45%,0,"99.72""","12""",年货节购物券|||金牌卖家|||16小时内发货|||退货运费险,12
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:18:00,123505594,keepmoving_,38271230781,//store.taobao.com/shop/view_shop.htm?user_number_id=123505594,【日本代购】佳能700D单机 双头套机 18-135 有中文kiss x7i,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1HuejIpXXXXclXXXXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=38271230781&ns=1&abbucket=0#detail,2930.00,0.00,日本,2930.00,0人付款,4,"taobao""","4×钻""","9""",99.82%,3C数码,100%,"4.96""",1,80.47%,"4.96""",1,72.89%,"4.94""",1,69.15%,0,"99.82""","9""",年货节购物券|||全球购,9
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=88,3,2016-01-13 20:18:00,10536605,juliazhuliyun,40496392665,//store.taobao.com/shop/view_shop.htm?user_number_id=10536605,胖宝宝日本代购 Canon/佳能 700D KISS X7i 双头套机18-55 55-250,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1sb_OFVXXXXa1XFXXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=40496392665&ns=1&abbucket=0#detail,4240.00,0.00,日本,4240.00,0人付款,0,"taobao""","4×钻""","9""",99.71%,生活服务,100%,"4.93""",1,53.85%,"4.94""",1,47.83%,"4.92""",1,45.57%,0,"99.71""","9""",全球购|||金牌卖家|||3天内发货,9
